word,phonetic,pos,meaning,example,exampleCn,category,level,list
take,teik,v.,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费\nvi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产\nn. 拿, 取, 收成, 奏效",Take action.,这个例句展示了“take”在日常交流中的常见用法。,daily,,
some,sʌm,pron.,"pron. 一些, 一部分, 若干\nadv. 大约\na. 一些的, 少许的, 某一的",Have some milk.,这个例句展示了“some”在日常交流中的常见用法。,daily,,
when,hwen,conj.,"conj. 当...的时候\nadv. 何时, 什么时候\npron. 什么时侯\nn. 时间","Students often meet the word ""when"" in reading and daily communication.",这个例句展示了“when”在日常交流中的常见用法。,daily,,
year,jiә,n.,"n. 年, 年度, 年龄\n[经] 年度",In the year 1920.,这个例句展示了“year”在日常交流中的常见用法。,daily,,
could,kud,aux.,"aux. 可以, 能","Students often meet the word ""could"" in reading and daily communication.",这个例句展示了“could”在日常交流中的常见用法。,daily,,
think,θiŋk,v.,"vt. 想, 考虑, 想起, 想像, 打算, 认为\nvi. 思考, 料想\nn. 想法\na. 思想的",I need to give it a good think.,这个例句展示了“think”在日常交流中的常见用法。,daily,,
into,'intu:,prep.,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况","Students often meet the word ""into"" in reading and daily communication.",这个例句展示了“into”在日常交流中的常见用法。,daily,,
its,its,pron.,pron. 它的,"Students often meet the word ""its"" in reading and daily communication.",这个例句展示了“its”在日常交流中的常见用法。,daily,,
them,ðem,pron.,"pron. 他们, 她们, 它们","Students often meet the word ""them"" in reading and daily communication.",这个例句展示了“them”在日常交流中的常见用法。,daily,,
then,ðen,conj.,"adv. 然后, 当时\nconj. 然后, 当时\nn. 那时",We will arrive before then.,这个例句展示了“then”在日常交流中的常见用法。,daily,,
two,tu:,n.,"num. 二, 二个",He received two messages.,这个例句展示了“two”在日常交流中的常见用法。,daily,,
out,aut,prep.,"a. 外面的, 熄灭的, 结束的\nadv. 在外, 熄灭, 出现\nprep. 出自, 离去, 向",The truth will out.,这个例句展示了“out”在日常交流中的常见用法。,daily,,
people,'pi:pl,v.,"n. 人, 人民, 民族, 平民\nvt. 使住满人, 居住于",Old people.,这个例句展示了“people”在日常交流中的常见用法。,daily,,
your,juә,pron.,"pron. 你的, 你们的","Students often meet the word ""your"" in reading and daily communication.",这个例句展示了“your”在日常交流中的常见用法。,daily,,
now,nau,conj.,"adv. 现在, 刚才, 目前\nn. 现在\na. 现在的\nconj. 由于",Now is a good time to do it.,这个例句展示了“now”在日常交流中的常见用法。,daily,,
him,him,pron.,pron. 他,"Students often meet the word ""him"" in reading and daily communication.",这个例句展示了“him”在日常交流中的常见用法。,daily,,
other,'ʌðә,pron.,"a. 其他的, 另外的, 从前的\npron. 其他的, 他人, 另外一个",Today isn't any other day.,这个例句展示了“other”在日常交流中的常见用法。,daily,,
only,'әunli,conj.,"a. 唯一的, 仅有的, 最佳的\nadv. 只有, 仅仅, 只能\nconj. 但是, 不过",An only child.,这个例句展示了“only”在日常交流中的常见用法。,daily,,
give,giv,v.,"n. 弹性, 适应性\nvt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出\nvi. 捐赠, 支持不住, 让步",Can you give me lessons?,这个例句展示了“give”在日常交流中的常见用法。,daily,,
good,gud,n.,"n. 善行, 好处, 利益\na. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的",For your own good.,这个例句展示了“good”在日常交流中的常见用法。,daily,,
than,ðæn,prep.,"conj. 比, 除...外\nprep. 比","Students often meet the word ""than"" in reading and daily communication.",这个例句展示了“than”在日常交流中的常见用法。,daily,,
like,laik,prep.,"a. 相似的, 同样的\nvt. 喜欢, 愿意, 想\nvi. 喜欢, 希望\nn. 爱好, 同样的人(或物)\nprep. 象, 如同\nadv. 可能","Dogs, foxes, and the like.",这个例句展示了“like”在日常交流中的常见用法。,daily,,
more,mɒ:,adv.,"n. 更多\na. 多的, 程度较大的, 更大的\nadv. 多, 更多, 进一步\n[计] DOS外部命令:显示满屏后自动暂停, 并显示:""--More--"", 按任意键继续",More land.,这个例句展示了“more”在日常交流中的常见用法。,daily,,
how,hau,adv.,"adv. 如何, 怎样, 多少, 多么\nn. 方式","Students often meet the word ""how"" in reading and daily communication.",这个例句展示了“how”在日常交流中的常见用法。,daily,,
these,ði:z,pron.,pron. 这些,"Students often meet the word ""these"" in reading and daily communication.",这个例句展示了“these”在日常交流中的常见用法。,daily,,
also,'ɒ:lsәu,adv.,"adv. 也, 并且, 同样地","Students often meet the word ""also"" in reading and daily communication.",这个例句展示了“also”在日常交流中的常见用法。,daily,,
any,'eni,pron.,a. 任何的\npron. 任何,Give me any peaches you don't want.,这个例句展示了“any”在日常交流中的常见用法。,daily,,
first,fә:st,adv.,"adv. 首先, 第一, 优先\na. 第一的\nnum. 第一\nn. 开始, 第一",He wanted to be the first.,这个例句展示了“first”在日常交流中的常见用法。,daily,,
our,'auә,pron.,pron. 我们的,"Students often meet the word ""our"" in reading and daily communication.",这个例句展示了“our”在日常交流中的常见用法。,daily,,
very,'veri,adv.,"a. 真正的, 恰好的, 十足的, 特有的\nadv. 非常, 完全",The very center of town.,这个例句展示了“very”在日常交流中的常见用法。,daily,,
new,nju:,adj.,"a. 新的, 陌生的, 最近的, 不熟悉的\n[法] 新发现的, 新的, 重新开始的",A new law.,这个例句展示了“new”在日常交流中的常见用法。,daily,,
look,luk,v.,"n. 一看, 神色, 样子, 面容\nvi. 看, 注意, 朝着, 显得\nvt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待",A look of triumph.,这个例句展示了“look”在日常交流中的常见用法。,daily,,
want,wɒnt,v.,"n. 需要的东西, 缺乏, 贫困, 需要\nvt. 要, 希望, 应该, 缺少\nvi. 生活困苦, 需要, 缺少",For want of a nail the shoe was lost.,这个例句展示了“want”在日常交流中的常见用法。,daily,,
may,mei,aux.,"n. 五月\naux. 愿能, 可以, 愿意","Students often meet the word ""may"" in reading and daily communication.",这个例句展示了“may”在日常交流中的常见用法。,daily,,
way,wei,adv.,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面\nadv. 远远地, 非常",A lonely way of life.,这个例句展示了“way”在日常交流中的常见用法。,daily,,
well,wel,adv.,"n. 井, 泉水, 源泉, 好\nv. 涌出\na. 健康的, 良好的, 适宜的, 恰当的\nadv. 很好地, 适当地, 好意地, 很, 完全\ninterj. 好啦",She was a well of information.,这个例句展示了“well”在日常交流中的常见用法。,daily,,
should,ʃud,aux.,"aux. 应该, 将要","Students often meet the word ""should"" in reading and daily communication.",这个例句展示了“should”在日常交流中的常见用法。,daily,,
use,ju:s,v.,"n. 使用, 习惯, 使用价值, 用法, 使用权\nvt. 使用, 利用, 运用, 耗费\nvi. 惯常",He warned against the use of narcotic drugs.,这个例句展示了“use”在日常交流中的常见用法。,daily,,
because,bi'kɒ:z,conj.,conj. 因为,"Students often meet the word ""because"" in reading and daily communication.",这个例句展示了“because”在日常交流中的常见用法。,daily,,
day,dei,n.,"n. 天, 日子, 白天, 工作日\n[医] 日(一昼夜), 昼, 白天",They put on two performances every day.,这个例句展示了“day”在日常交流中的常见用法。,daily,,
man,mæn,v.,"n. 男人, 人类, 人\nvt. 为...配备人手, 操纵, 使振奋\n[计] 城域网, 手册",It was every man for himself.,这个例句展示了“man”在日常交流中的常见用法。,daily,,
find,faind,v.,"vt. 发现, 感到, 找到, 认为, 得到\nvi. 裁决\nn. 发现\n[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中\n寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上",We find this idea in Plato.,这个例句展示了“find”在日常交流中的常见用法。,daily,,
after,'ɑ:ftә,prep.,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",Two hours after that.,这个例句展示了“after”在日常交流中的常见用法。,daily,,
here,hiә,adv.,"adv. 在这里, 此时, 这里\nn. 这里",Where do we go from here?,这个例句展示了“here”在日常交流中的常见用法。,daily,,
between,bi'twi:n,prep.,prep. 在...之间,Dancing all the dances with little rest between.,这个例句展示了“between”在日常交流中的常见用法。,daily,,
thing,θiŋ,n.,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征",This thing has got to end.,这个例句展示了“thing”在日常交流中的常见用法。,daily,,
many,'meni,pron.,"n. 多数, 多数人\na. 许多的\npron. 许多",Many temptations.,这个例句展示了“many”在日常交流中的常见用法。,daily,,
those,ðәuz,pron.,pron. 那些,"Students often meet the word ""those"" in reading and daily communication.",这个例句展示了“those”在日常交流中的常见用法。,daily,,
down,daun,prep.,"a. 向下的\nadv. 下, 下去, 降下\nprep. 往下, 沿着\nn. 丘陵, 软毛, 开阔的高地\n[计] 向下, 退下命令",Some people can down a pound of meat in the course of one meal.,这个例句展示了“down”在日常交流中的常见用法。,daily,,
tell,tel,v.,"vt. 告诉, 说, 吩咐, 断定, 知道\nvi. 讲述, 泄密, 告发, 表明",Tell me what is bothering you.,这个例句展示了“tell”在日常交流中的常见用法。,daily,,
yeah,jɑ:,adv.,"adv. (非正式)是, 是的","Students often meet the word ""yeah"" in reading and daily communication.",这个例句展示了“yeah”在日常交流中的常见用法。,daily,,
three,θri:,n.,"num. 三, 三个","Students often meet the word ""three"" in reading and daily communication.",这个例句展示了“three”在日常交流中的常见用法。,daily,,
back,bæk,adv.,"a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面",His back was nicely tanned.,这个例句展示了“back”在日常交流中的常见用法。,daily,,
such,sʌtʃ,adj.,"a. 如此的, 这样的",Such weeping.,这个例句展示了“such”在日常交流中的常见用法。,daily,,
through,θru:,prep.,"adv. 穿越, 从头至尾, 到底, 因为\nprep. 经过, 穿过\na. 对穿的, 直达的, 完结的","After the treatment, the patient is through except for follow-up.",这个例句展示了“through”在日常交流中的常见用法。,daily,,
over,'әuvә,prep.,"adv. 结束, 越过, 从头到尾\nprep. 在...之上, 遍于...之上, 越过\na. 上面的\nvt. 越过","The affair is over, ended, finished.",这个例句展示了“over”在日常交流中的常见用法。,daily,,
must,mʌst,aux.,"n. 必须, 未发酵葡萄汁, 绝对必要的事物\naux. 必须",Seat belts are an absolute must.,这个例句展示了“must”在日常交流中的常见用法。,daily,,
woman,'wumәn,v.,"n. 女人, 妇女, 女仆\na. 女用的, 女性的, 妇女的\nvt. 贬称...为女人, 使成女人腔",The woman kept house while the man hunted.,这个例句展示了“woman”在日常交流中的常见用法。,daily,,
still,stil,conj.,"n. 蒸馏室, 寂静, 剧照\nv. 蒸馏, (使)平静, (使)静止\na. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的\nadv. 仍然, 更, 静止地\nconj. 然而, 但是",The still of the night.,这个例句展示了“still”在日常交流中的常见用法。,daily,,
life,laif,n.,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑\n[医] 生活, 生存, 生命, 寿命",Social life.,这个例句展示了“life”在日常交流中的常见用法。,daily,,
too,tu:,adv.,"adv. 也, 非常, 太",Too big.,这个例句展示了“too”在日常交流中的常见用法。,daily,,
put,put,v.,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予\nvi. 出发, 航行, 发芽\nn. 掷, 股票出售权, 笨蛋\na. 固定不动的\n[计] 发送文件",Put your things here.,这个例句展示了“put”在日常交流中的常见用法。,daily,,
work,wә:k,v.,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程\nvi. 工作, 劳动, 做, 运转, 起作用, 被加工\nvt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成",She checked several points needing further work.,这个例句展示了“work”在日常交流中的常见用法。,daily,,
own,әun,v.,"n. 自己的\na. 自己的, 嫡亲的, 同胞的\nvt. 拥有, 支配, 自认, 承认, 顺从于\nvi. 承认, 供认",For your own use.,这个例句展示了“own”在日常交流中的常见用法。,daily,,
last,lɑ:st,adv.,"a. 最后的, 末尾的, 最近的\nvi. 持续, 支持, 维持\nvt. 使维持, 够...用\nadv. 最后, 后来\nn. 最后, 末尾, 鞋楦头",He was the last to leave.,这个例句展示了“last”在日常交流中的常见用法。,daily,,
become,bi'kʌm,v.,"vi. 变成, 变得\nvt. 适合","Students often meet the word ""become"" in reading and daily communication.",这个例句展示了“become”在日常交流中的常见用法。,daily,,
world,wә:ld,n.,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量\n[法] 世界, 地球, 世人",The Western world.,这个例句展示了“world”在日常交流中的常见用法。,daily,,
school,sku:l,v.,"n. 学校, 鱼群, 门派, 学派\nvt. 教育, 训练, 培养\nvi. 成群地游",The school was founded in 1900.,这个例句展示了“school”在日常交流中的常见用法。,daily,,
old,әuld,n.,"n. 以前, 往昔\na. 老的, 旧的, 古老的, 年长的, 老练的",His mother is very old.,这个例句展示了“old”在日常交流中的常见用法。,daily,,
leave,li:v,v.,"n. 许可, 告别, 请假, 休假\nvt. 离开, 剩下, 遗忘, 委托, 丢弃\nvi. 出发, 离开, 生叶",A ten day's leave to visit his mother.,这个例句展示了“leave”在日常交流中的常见用法。,daily,,
try,trai,v.,"n. 尝试, 试验, 审理, 审判\nvt. 试, 尝试, 试验, 考验, 审问, 提炼\nvi. 尝试, 试图",She gave it a good try.,这个例句展示了“try”在日常交流中的常见用法。,daily,,
great,greit,adv.,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的\nadv. 顺利地, 得意地\nn. 全部, 大人物, 大师",A great juicy steak.,这个例句展示了“great”在日常交流中的常见用法。,daily,,
ask,ɑ:sk,v.,"vi. 问, 要求\nvt. 问, 要求, 邀请, 需要",He had to ask directions several times.,这个例句展示了“ask”在日常交流中的常见用法。,daily,,
where,hwєә,pron.,adv. 在哪里\npron. 哪里\nn. 地点,"Students often meet the word ""where"" in reading and daily communication.",这个例句展示了“where”在日常交流中的常见用法。,daily,,
need,ni:d,aux.,"n. 需要, 必须, 缺乏\nvt. 需要, 必需\nvi. 贫困, 有必要\naux. 需要",She satisfied his need for affection.,这个例句展示了“need”在日常交流中的常见用法。,daily,,
seem,si:m,v.,"vi. 象是, 似乎",I seem to be misunderstood by everyone.,这个例句展示了“seem”在日常交流中的常见用法。,daily,,
same,seim,pron.,"a. 相同的, 同样的\npron. 相同的人(或事物)\nadv. 同样地",The same man I saw yesterday.,这个例句展示了“same”在日常交流中的常见用法。,daily,,
never,'nevә,adv.,"adv. 从不, 决不, 不曾\n[法] 永不, 决不, 从来没有",I have never been to China.,这个例句展示了“never”在日常交流中的常见用法。,daily,,
high,hai,adv.,"n. 高度, 高处\na. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的\nadv. 高度地, 奢侈地",Summer temperatures reached an all-time high.,这个例句展示了“high”在日常交流中的常见用法。,daily,,
group,gru:p,v.,"n. 团体, 组, 团, 群\nv. 聚合, 成群\n[计] 创建组; 组, 用户组",Can you group these shapes together?,这个例句展示了“group”在日常交流中的常见用法。,daily,,
something,'sʌmθiŋ,pron.,"pron. 某事, 某物","Students often meet the word ""something"" in reading and daily communication.",这个例句展示了“something”在日常交流中的常见用法。,daily,,
number,'nʌmbә,v.,"n. 数, 数字, 数目, 号码\nvt. 数, 计算, 共计\nvi. 计算, 报数\n[计] 数字",He had a number of chores to do.,这个例句展示了“number”在日常交流中的常见用法。,daily,,
really,'riәli,adv.,"adv. 实际上, 真实地, 实在",They don't really listen to us.,这个例句展示了“really”在日常交流中的常见用法。,daily,,
most,mәust,adv.,"n. 最多, 最大\na. 大多数的, 几乎全部的, 最多的\nadv. 最, 最多, 极其",Who has the most apples?,这个例句展示了“most”在日常交流中的常见用法。,daily,,
yes,jes,adv.,"adv. 是\nn. 是, 同意\nv. 同意",I was hoping for a yes.,这个例句展示了“yes”在日常交流中的常见用法。,daily,,
another,ә'nʌðә,pron.,"a. 另外的, 再一的, 不同的\npron. 又一个, 另一个, 类似的另一个",Put it off to another (or some other) day.,这个例句展示了“another”在日常交流中的常见用法。,daily,,
much,mʌtʃ,adv.,"n. 大量, 许多, 重要的事\na. 很多的, 重要的\nadv. 多, 甚, 几乎",They did much for humanity.,这个例句展示了“much”在日常交流中的常见用法。,daily,,
family,'fæmәli,n.,"n. 家庭, 家人, 族\na. 家庭的",He moved his family to Virginia.,这个例句展示了“family”在日常交流中的常见用法。,daily,,
show,ʃәu,v.,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相\nvt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领\nvi. 露面, 显现, 演出\n[计] 显示",A remarkable show of skill.,这个例句展示了“show”在日常交流中的常见用法。,daily,,
house,haus,v.,"n. 房子, 住宅, 机构, 议院, 家族, 家庭\nvt. 给...房子住, 收藏\nvi. 住, 躲藏",He has a house on Cape Cod.,这个例句展示了“house”在日常交流中的常见用法。,daily,,
while,hwail,conj.,"n. 一会儿, (一段)时间\nconj. 当...的时候, 虽然\nvt. 消磨",He was here for a little while.,这个例句展示了“while”在日常交流中的常见用法。,daily,,
problem,'prɒblәm,n.,"n. 问题, 难题\na. 成问题的, 难处理的",What's the problem?,这个例句展示了“problem”在日常交流中的常见用法。,daily,,
again,ә'gein,adv.,"adv. 再一次, 又, 到原处",She tried again.,这个例句展示了“again”在日常交流中的常见用法。,daily,,
keep,ki:p,v.,"n. 生计, 维持, 保持\nvt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐\nvi. 保持, 继续不断",Each child was expected to pay for their keep.,这个例句展示了“keep”在日常交流中的常见用法。,daily,,
student,'stju:dnt,n.,"n. 学生, 研究者, 学者","Students often meet the word ""student"" in reading and daily communication.",这个例句展示了“student”在日常交流中的常见用法。,daily,,
under,'ʌndә,prep.,"prep. 在...之下, 低于\na. 下面的, 从属的\nadv. 在下面",The under parts of a machine.,这个例句展示了“under”在日常交流中的常见用法。,daily,,
why,hwai,adv.,"adv. 为什么\nn. 原因, 理由","Students often meet the word ""why"" in reading and daily communication.",这个例句展示了“why”在日常交流中的常见用法。,daily,,
let,let,v.,"vt. 让, 假设, 出租, 排放, 妨碍\nvi. 出租, 被承包\nn. 出租屋, 障碍",I let it be known that I was not interested.,这个例句展示了“let”在日常交流中的常见用法。,daily,,
big,big,adv.,"a. 大的, 重要的\nadv. 大量地",Set out for the big city.,这个例句展示了“big”在日常交流中的常见用法。,daily,,
place,pleis,v.,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位\nvt. 放置, 寄予, 认出, 评定, 任命\nvi. 名次列前",This is a nice place for a picnic.,这个例句展示了“place”在日常交流中的常见用法。,daily,,
hand,hænd,v.,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手\nvt. 交给, 支持, 搀扶",The hired hand fixed the railing.,这个例句展示了“hand”在日常交流中的常见用法。,daily,,
begin,bi'gin,v.,v. 开始\n[计] 开始,Begin a new chapter in your life.,这个例句展示了“begin”在日常交流中的常见用法。,daily,,
country,'kʌntri,n.,"n. 国家, 乡村, 地区, 故乡\na. 乡下的, 农村的\n[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式",The country's largest manufacturer.,这个例句展示了“country”在日常交流中的常见用法。,daily,,
party,'pɑ:ti,v.,"n. 宴会, 党, 政党, 团体, 当事人, 聚会\nv. 举办聚会",In 1992 Perot tried to organize a third party at the national level.,这个例句展示了“party”在日常交流中的常见用法。,daily,,
help,help,v.,"n. 帮忙, 帮助者, 补救办法, 有益的东西\nvt. 帮助, 帮忙, 接济, 治疗, 款待\nvi. 有用, 救命, 招待\n[计] 帮助, 帮助程序; DOS外部命令: DOS命令的电子文件帮助程序",Offered his help in unloading.,这个例句展示了“help”在日常交流中的常见用法。,daily,,
small,smɒ:l,adv.,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的\nadv. 些微地\nn. 狭小部分",A small car.,这个例句展示了“small”在日常交流中的常见用法。,daily,,
talk,tɒ:k,v.,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言\nvi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话\nvt. 讲, 说, 讨论, 谈论\n[计] 对话类, 聊天",Let's have more work and less talk around here.,这个例句展示了“talk”在日常交流中的常见用法。,daily,,
each,i:tʃ,pron.,"a. 每个, 每一\nadv. 每个\npron. 每个, 个人, 各自",Each person is mortal.,这个例句展示了“each”在日常交流中的常见用法。,daily,,
every,'evri,adj.,"a. 每一, 所有的",Every person is mortal.,这个例句展示了“every”在日常交流中的常见用法。,daily,,
start,stɑ:t,v.,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件\nvi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛\nvt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用\n",It was off to a good start.,这个例句展示了“start”在日常交流中的常见用法。,daily,,
off,ɒf,prep.,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的\nadv. 走开, ...掉, ...下, 休息, 出发, 隔断\nprep. 离开, 脱落, 不在从事......, 在...之外\nvi. 离开, 滚开\nvt. 杀死",The oven is off.,这个例句展示了“off”在日常交流中的常见用法。,daily,,
american,ә'merikәn,n.,"n. 美国人\na. 美国的, 美洲的",American citizens.,这个例句展示了“american”在日常交流中的常见用法。,daily,,
different,'difәrәnt,adj.,"a. 不同的\n[机] 差动, 微分的, 差速器",Took different approaches to the problem.,这个例句展示了“different”在日常交流中的常见用法。,daily,,
hold,hәuld,v.,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁\nvt. 保存, 握住, 拿住, 占据, 持有, 拥有\nvi. 支持, 持续, 有效\nn. 保留\n[计] 保留",She kept a firm hold on the railing.,这个例句展示了“hold”在日常交流中的常见用法。,daily,,
week,wi:k,n.,"n. 星期, 周",It rained for a week.,这个例句展示了“week”在日常交流中的常见用法。,daily,,
large,lɑ:dʒ,adv.,"a. 大的, 大量的, 宽大的, 广博的\nadv. 大大地, 夸大地",A large city.,这个例句展示了“large”在日常交流中的常见用法。,daily,,
