word,meaning,category
epitome,典范,toefl
equate,等同,toefl
equilibrium,平衡,toefl
eradicate,根除,toefl
erode,侵蚀,toefl
escalate,升级,toefl
essence,本质,toefl
essential,必不可少的,toefl
establish,建立,toefl
esteem,尊重,toefl
estimate,估计,toefl
ethics,伦理,toefl
evade,逃避,toefl
evaluate,评估,toefl
evoke,唤起,toefl
evolve,演变,toefl
exacerbate,恶化,toefl
excel,擅长,toefl
excerpt,摘录,toefl
exclude,排除,toefl
execute,执行处决,toefl
exemplify,例证说明,toefl
facilitate,促进,toefl
faction,派系,toefl
feasible,可行的,toefl
fervent,热烈的,toefl
fidelity,忠诚准确性,toefl
fluctuate,波动,toefl
formidable,强大的,toefl
formulate,制定,toefl
foster,促进培养,toefl
fragment,碎片,toefl
fragile,脆弱的,toefl
framework,框架,toefl
friction,摩擦分歧,toefl
frugal,节俭的,toefl
futile,徒劳的,toefl
galvanize,激励,toefl
generic,通用的,toefl
genuine,真正的,toefl
germinate,发芽萌生,toefl
gist,要点,toefl
gradual,逐渐的,toefl
grant,授予,toefl
grievance,不满,toefl
grim,严峻的,toefl
habitat,栖息地,toefl
hamper,妨碍,toefl
harbor,庇护港口,toefl
hasten,加速,toefl
hedge,对冲回避,toefl
hierarchy,等级体系,toefl
holistic,整体的,toefl
homogeneous,同质的,toefl
hypothesis,假设,toefl
identical,完全相同的,toefl
ideology,意识形态,toefl
ignorant,无知的,toefl
illicit,非法的,toefl
illuminate,照亮阐明,toefl
illusion,幻觉,toefl
illustrate,说明,toefl
immense,巨大的,toefl
imminent,即将发生的,toefl
immerse,沉浸,toefl
immutable,不可改变的,toefl
impact,影响,toefl
impartial,公正的,toefl
impede,阻碍,toefl
imperative,必要的,toefl
implement,实施,toefl
implicate,牵连暗示,toefl
implicit,含蓄的,toefl
impose,强加,toefl
impoverish,使贫困,toefl
incentive,激励,toefl
incidence,发生率,toefl
incline,倾向,toefl
inclusive,包容的,toefl
incorporate,纳入,toefl
indispensable,不可或缺的,toefl
induce,诱导导致,toefl
inevitable,不可避免的,toefl
infer,推断,toefl
inflate,膨胀夸大,toefl
inhibit,抑制,toefl
innate,天生的,toefl
innovate,创新,toefl
inquire,询问调查,toefl
insight,洞察,toefl
inspire,激励,toefl
integral,不可分割的,toefl
integrate,整合,toefl
integrity,诚信完整性,toefl
intense,强烈的,toefl
interim,过渡期间的,toefl
intervene,干预,toefl
intricate,复杂精细的,toefl
intrinsic,内在的,toefl
intuition,直觉,toefl
invalidate,使无效,toefl
invoke,援引,toefl
jeopardize,危及,toefl
jurisdiction,管辖权,toefl
justify,证明正当,toefl
keen,敏锐的,toefl
kindle,点燃激发,toefl
laborious,费力的,toefl
lament,哀叹,toefl
lapse,失误流逝,toefl
latent,潜在的,toefl
leverage,杠杆影响力,toefl
liaise,联络协调,toefl
liberal,宽容的,toefl
literal,字面的,toefl
lucrative,有利可图的,toefl
magnitude,规模,toefl
maintain,维持,toefl
manipulate,操纵,toefl
marginal,边缘的,toefl
mediate,调解,toefl
meticulous,一丝不苟的,toefl
migrate,迁移,toefl
mimic,模仿,toefl
minimal,最小的,toefl
mitigate,缓解,toefl
mobilize,动员,toefl
moderate,适度的,toefl
modify,修改,toefl
monitor,监测,toefl
morale,士气,toefl
mundane,平凡的,toefl
mutual,相互的,toefl
narrative,叙述,toefl
negligible,可忽略的,toefl
neutral,中立的,toefl
notorious,臭名昭著的,toefl
novice,新手,toefl
nurture,培养,toefl
objective,客观的,toefl
obscure,模糊的,toefl
obtain,获得,toefl
offset,抵消,toefl
omit,省略,toefl
ongoing,持续的,toefl
opaque,不透明的,toefl
optimal,最佳的,toefl
ordeal,严峻考验,toefl
orient,使适应方向,toefl
outcome,结果,toefl
outweigh,超过,toefl
overall,总体的,toefl
paradox,悖论,toefl
paradigm,范式,toefl
parallel,平行的,toefl
parameter,参数,toefl
partial,部分的,toefl
participant,参与者,toefl
passive,被动的,toefl
perceive,感知,toefl
persistent,持续的,toefl
perspective,视角,toefl
plausible,看似合理的,toefl
pledge,承诺,toefl
plural,多元的,toefl
polarize,使两极化,toefl
portray,描绘,toefl
pragmatic,务实的,toefl
precede,先于,toefl
precise,精确的,toefl
predict,预测,toefl
preliminary,初步的,toefl
premise,前提,toefl
preserve,保护,toefl
presume,假定,toefl
prevail,盛行获胜,toefl
primary,主要的,toefl
principle,原则,toefl
prior,先前的,toefl
privilege,特权,toefl
probe,探查,toefl
profound,深刻的,toefl
prohibit,禁止,toefl
promote,促进,toefl
prompt,促使迅速的,toefl
proportion,比例,toefl
prospect,前景,toefl
protocol,协议,toefl
provoke,激起,toefl
prudent,谨慎的,toefl
psychology,心理学,toefl
pulse,脉搏脉冲,toefl
qualitative,定性的,toefl
quantify,量化,toefl
radical,根本的,toefl
random,随机的,toefl
rational,理性的,toefl
rebound,反弹,toefl
reciprocal,互惠的,toefl
refine,完善提炼,toefl
regime,体制,toefl
reinforce,加强,toefl
reject,拒绝,toefl
relevant,相关的,toefl
resilient,有韧性的,toefl
restrain,抑制,toefl
rigorous,严谨的,toefl
robust,强健的,toefl
rupture,破裂,toefl
skeptical,怀疑的,toefl
substantial,大量的,toefl
sustain,维持支撑,toefl
