word,meaning,example,category
enrich,充实,Travel can enrich your worldview.,toefl
enroll,注册入学,Over 500 students enrolled in the course.,toefl
ensure,确保,Double check the data to ensure accuracy.,toefl
entail,牵涉导致,Expanding the program will entail higher costs.,toefl
entity,实体,Each legal entity must file separately.,toefl
enumerate,列举,Please enumerate the risks in your report.,toefl
envisage,设想,We envisage a greener transport system.,toefl
epidemic,流行病,The city acted quickly to contain the epidemic.,toefl
ephemeral,短暂的,Online fame is often ephemeral.,toefl
epicenter,震中核心,The village lay near the epicenter of the quake.,toefl
epitome,典范,Her calm leadership was the epitome of professionalism.,toefl
equate,等同,Do not equate wealth with happiness.,toefl
equilibrium,平衡,The market reached a new equilibrium.,toefl
eradicate,根除,The campaign aims to eradicate malaria.,toefl
erode,侵蚀,Heavy rain can erode the riverbank.,toefl
escalate,升级,Tensions could escalate without dialogue.,toefl
essence,本质,Trust is the essence of teamwork.,toefl
essential,必不可少的,Clean water is essential for health.,toefl
establish,建立,The team established a clear timeline.,toefl
esteem,尊重,She is held in high esteem by colleagues.,toefl
estimate,估计,We estimate completion by late May.,toefl
ethics,伦理,Ethics should guide every medical decision.,toefl
evade,逃避,The suspect tried to evade capture.,toefl
evaluate,评估,Please evaluate the proposal objectively.,toefl
evoke,唤起,The photo can evoke strong memories.,toefl
evolve,演变,Languages evolve over time.,toefl
exacerbate,恶化,Delays may exacerbate public frustration.,toefl
excel,擅长,He continues to excel in statistics.,toefl
excerpt,摘录,I read an excerpt from her new book.,toefl
exclude,排除,We cannot exclude that possibility yet.,toefl
execute,执行处决,The agency failed to execute the plan.,toefl
exemplify,例证说明,This case exemplifies systemic bias.,toefl
facilitate,促进,Shared tools facilitate remote collaboration.,toefl
faction,派系,A rival faction challenged the leader.,toefl
feasible,可行的,Your plan sounds feasible in practice.,toefl
fervent,热烈的,She remained a fervent supporter of reform.,toefl
fidelity,忠诚准确性,The recording has excellent sound fidelity.,toefl
fluctuate,波动,Prices fluctuate with seasonal demand.,toefl
formidable,强大的,They faced a formidable opponent.,toefl
formulate,制定,Scientists formulated a new hypothesis.,toefl
foster,促进培养,Schools should foster curiosity.,toefl
fragment,碎片,The mirror broke into a fragment.,toefl
fragile,脆弱的,The peace deal is still fragile.,toefl
framework,框架,We need a legal framework for AI.,toefl
friction,摩擦分歧,Poor communication creates friction between teams.,toefl
frugal,节俭的,He is frugal with both time and money.,toefl
futile,徒劳的,Further argument would be futile.,toefl
galvanize,激励,The speech galvanized volunteers into action.,toefl
generic,通用的,The form gives only generic advice.,toefl
genuine,真正的,Her apology sounded genuine.,toefl
germinate,发芽萌生,New ideas often germinate during travel.,toefl
gist,要点,I got the gist of the article.,toefl
gradual,逐渐的,Recovery was slow but gradual.,toefl
grant,授予,The foundation will grant scholarships to ten students.,toefl
grievance,不满,Workers filed a formal grievance.,toefl
grim,严峻的,The report paints a grim picture.,toefl
habitat,栖息地,Pollution destroyed the birds' habitat.,toefl
hamper,妨碍,Red tape can hamper innovation.,toefl
harbor,庇护港口,The small harbor was full of fishing boats.,toefl
hasten,加速,Better transport could hasten recovery.,toefl
hedge,对冲回避,Investors hedge against inflation.,toefl
hierarchy,等级体系,The company has a flat hierarchy.,toefl
holistic,整体的,We need a holistic approach to education.,toefl
homogeneous,同质的,The sample was too homogeneous.,toefl
hypothesis,假设,Their hypothesis was later confirmed.,toefl
identical,完全相同的,The two results were nearly identical.,toefl
ideology,意识形态,Ideology should not replace evidence.,toefl
ignorant,无知的,He was ignorant of the local customs.,toefl
illicit,非法的,Police uncovered an illicit market.,toefl
illuminate,照亮阐明,The findings illuminate a hidden pattern.,toefl
illusion,幻觉,The calm surface created an illusion of safety.,toefl
illustrate,说明,Let me illustrate the idea with an example.,toefl
immense,巨大的,She felt immense relief after the exam.,toefl
imminent,即将发生的,A major storm is imminent.,toefl
immerse,沉浸,Reading can immerse you in another world.,toefl
immutable,不可改变的,The laws of physics are not immutable.,toefl
impact,影响,The policy had a positive impact on wages.,toefl
impartial,公正的,Judges must remain impartial.,toefl
impede,阻碍,Heavy snow will impede traffic.,toefl
imperative,必要的,It is imperative to protect privacy.,toefl
implement,实施,We plan to implement the update next month.,toefl
implicate,牵连暗示,The evidence could implicate senior officials.,toefl
implicit,含蓄的,The contract contains an implicit promise.,toefl
impose,强加,The city may impose stricter limits.,toefl
impoverish,使贫困,Conflict can impoverish entire regions.,toefl
incentive,激励,Bonuses provide an incentive to improve.,toefl
incidence,发生率,The incidence of flu rises in winter.,toefl
incline,倾向,Young voters incline toward reform.,toefl
inclusive,包容的,We want an inclusive workplace culture.,toefl
incorporate,纳入,The final draft will incorporate your feedback.,toefl
indispensable,不可或缺的,Trust is indispensable in leadership.,toefl
induce,诱导导致,Bright light can induce headaches.,toefl
inevitable,不可避免的,Some mistakes are inevitable in research.,toefl
infer,推断,From these numbers we can infer demand.,toefl
inflate,膨胀夸大,Rumors can inflate expectations.,toefl
inhibit,抑制,Fear can inhibit creativity.,toefl
innate,天生的,She has an innate sense of rhythm.,toefl
innovate,创新,Small teams often innovate faster.,toefl
inquire,询问调查,I called to inquire about the vacancy.,toefl
insight,洞察,Her essay offers insight into social anxiety.,toefl
inspire,激励,Great teachers inspire confidence.,toefl
integral,不可分割的,Data security is integral to the system.,toefl
integrate,整合,Newcomers need time to integrate.,toefl
integrity,诚信完整性,Academic integrity matters deeply here.,toefl
intense,强烈的,Competition was intense this year.,toefl
interim,过渡期间的,An interim manager will lead the team.,toefl
intervene,干预,Doctors had to intervene immediately.,toefl
intricate,复杂精细的,The watch has an intricate design.,toefl
intrinsic,内在的,Curiosity is an intrinsic human trait.,toefl
intuition,直觉,His intuition proved correct.,toefl
invalidate,使无效,Missing signatures may invalidate the contract.,toefl
invoke,援引,The lawyer invoked a constitutional right.,toefl
jeopardize,危及,One error could jeopardize the mission.,toefl
jurisdiction,管辖权,The case is outside our jurisdiction.,toefl
justify,证明正当,Can you justify the extra expense?,toefl
keen,敏锐的,She is keen to join the program.,toefl
kindle,点燃激发,Her words kindled hope.,toefl
laborious,费力的,Manual entry is slow and laborious.,toefl
lament,哀叹,Residents lament the loss of old trees.,toefl
lapse,失误流逝,A brief lapse in attention caused the crash.,toefl
latent,潜在的,The tests revealed latent defects.,toefl
leverage,杠杆影响力,Startups leverage cloud services to scale.,toefl
liaise,联络协调,Our office will liaise with local partners.,toefl
liberal,宽容的,The policy reflects a liberal approach.,toefl
literal,字面的,Do not take that joke in a literal sense.,toefl
lucrative,有利可图的,He moved into the lucrative biotech sector.,toefl
magnitude,规模,We underestimated the magnitude of the problem.,toefl
maintain,维持,Please maintain a safe distance.,toefl
manipulate,操纵,The image was manipulated for effect.,toefl
marginal,边缘的,The budget increase was marginal.,toefl
mediate,调解,A neutral team will mediate the dispute.,toefl
meticulous,一丝不苟的,Her meticulous notes impressed everyone.,toefl
migrate,迁移,Many birds migrate south in winter.,toefl
mimic,模仿,The app can mimic natural conversation.,toefl
minimal,最小的,The risk is minimal.,toefl
mitigate,缓解,New trees can mitigate heat in cities.,toefl
mobilize,动员,The campaign mobilized thousands of volunteers.,toefl
moderate,适度的,The chair kept the discussion moderate.,toefl
modify,修改,We need to modify the timeline.,toefl
monitor,监测,Nurses monitor patients around the clock.,toefl
morale,士气,Clear communication improves team morale.,toefl
mundane,平凡的,He turned a mundane task into a game.,toefl
mutual,相互的,Respect must be mutual.,toefl
narrative,叙述,The film follows a nonlinear narrative.,toefl
negligible,可忽略的,The difference was negligible.,toefl
neutral,中立的,Switzerland remained neutral in the conflict.,toefl
notorious,臭名昭著的,The prison is notorious for harsh conditions.,toefl
novice,新手,As a novice he asked basic questions.,toefl
nurture,培养,Parents should nurture curiosity.,toefl
objective,客观的,Please stay objective when reviewing the data.,toefl
obscure,模糊的,The meaning remained obscure.,toefl
obtain,获得,You must obtain permission first.,toefl
offset,抵消,Higher sales can offset rising costs.,toefl
omit,省略,Do not omit key evidence.,toefl
ongoing,持续的,Negotiations are still ongoing.,toefl
opaque,不透明的,The process is too opaque for the public.,toefl
optimal,最佳的,Morning is the optimal time for practice.,toefl
ordeal,严峻考验,Recovery was a long ordeal.,toefl
orient,使适应方向,The guide helped us orient ourselves in the city.,toefl
outcome,结果,The outcome exceeded expectations.,toefl
outweigh,超过,The benefits outweigh the risks.,toefl
overall,总体的,Overall performance improved this quarter.,toefl
paradox,悖论,It is a paradox that choice can reduce satisfaction.,toefl
paradigm,范式,The internet changed the business paradigm.,toefl
parallel,平行的,The two roads run parallel for miles.,toefl
parameter,参数,We adjusted one parameter at a time.,toefl
partial,部分的,The report gave only a partial picture.,toefl
participant,参与者,Each participant completed a survey.,toefl
passive,被动的,Passive learning rarely builds deep skill.,toefl
perceive,感知,Children perceive patterns quickly.,toefl
persistent,持续的,She remained persistent despite setbacks.,toefl
perspective,视角,Travel gave him a broader perspective.,toefl
plausible,看似合理的,Her explanation sounds plausible.,toefl
pledge,承诺,The mayor made a pledge to cut emissions.,toefl
plural,多元的,English has both singular and plural forms.,toefl
polarize,使两极化,The issue continues to polarize voters.,toefl
portray,描绘,The film portrays rural life with warmth.,toefl
pragmatic,务实的,We need a pragmatic solution today.,toefl
precede,先于,A short warm up should precede exercise.,toefl
precise,精确的,Please give me a precise figure.,toefl
predict,预测,Experts struggle to predict earthquakes.,toefl
preliminary,初步的,The preliminary results look promising.,toefl
premise,前提,The argument rests on a false premise.,toefl
preserve,保护,Museums preserve cultural memory.,toefl
presume,假定,I presume you have read the report.,toefl
prevail,盛行获胜,In the end fairness prevailed.,toefl
primary,主要的,Safety is our primary concern.,toefl
principle,原则,He refused to compromise his principle.,toefl
prior,先前的,Prior experience is not required.,toefl
privilege,特权,Access to clean water is a basic right not a privilege.,toefl
probe,探查,Investigators continue to probe the cause.,toefl
profound,深刻的,The book had a profound influence on me.,toefl
prohibit,禁止,Campus rules prohibit smoking.,toefl
promote,促进,The campaign promotes healthy eating.,toefl
prompt,促使迅速的,The alarm should prompt immediate action.,toefl
proportion,比例,A large proportion of voters are under thirty.,toefl
prospect,前景,The job prospect looks promising.,toefl
protocol,协议,Please follow the safety protocol.,toefl
provoke,激起,His remark provoked laughter.,toefl
prudent,谨慎的,It is prudent to keep a backup.,toefl
psychology,心理学,She is studying psychology at university.,toefl
pulse,脉搏脉冲,The nurse checked his pulse twice.,toefl
qualitative,定性的,We need qualitative feedback not just numbers.,toefl
quantify,量化,We must quantify the real impact.,toefl
radical,根本的,They proposed a radical reform.,toefl
random,随机的,The sample was selected at random.,toefl
rational,理性的,Her decision was calm and rational.,toefl
rebound,反弹,Profits began to rebound in spring.,toefl
reciprocal,互惠的,Their support was reciprocal.,toefl
refine,完善提炼,She refined the draft overnight.,toefl
regime,体制,The new regime introduced strict controls.,toefl
reinforce,加强,Repetition helps reinforce memory.,toefl
reject,拒绝,The board rejected the proposal.,toefl
relevant,相关的,Please include only relevant details.,toefl
resilient,有韧性的,Children can be remarkably resilient.,toefl
restrain,抑制,He struggled to restrain his anger.,toefl
rigorous,严谨的,The exam follows rigorous standards.,toefl
robust,强健的,We need a robust backup plan.,toefl
rupture,破裂,The earthquake caused a pipeline rupture.,toefl
skeptical,怀疑的,Investors remain skeptical of the forecast.,toefl
substantial,大量的,We made substantial progress this year.,toefl
sustain,维持支撑,Solar power helps sustain remote communities.,toefl
